iter	Logloss
0	0.6867306955
1	0.6780928258
2	0.6688682774
3	0.6622473145
4	0.654608939
5	0.6487667411
6	0.642572719
7	0.6358389282
8	0.6296669224
9	0.6240542167
10	0.6164324951
11	0.6083247593
12	0.6027160209
13	0.5972172764
14	0.5912943813
15	0.5849397932
16	0.57859375
17	0.5734875488
18	0.5663711984
19	0.5604075405
20	0.5557788958
21	0.5499147252
22	0.5449433681
23	0.5401732527
24	0.5352568708
25	0.5309978376
26	0.5263234166
27	0.520179269
28	0.5155371966
29	0.5108929007
30	0.5046069772
31	0.4995859201
32	0.4948512486
33	0.4891813442
34	0.4852913121
35	0.4805077253
36	0.4756165423
37	0.4710632324
38	0.4667978341
39	0.462792402
40	0.458852975
41	0.4542850603
42	0.4508916364
43	0.4465982492
44	0.4420707049
45	0.438280814
46	0.4350667899
47	0.4312024798
48	0.4275580706
49	0.4239303153
50	0.4196060617
51	0.4162731498
52	0.4122714669
53	0.4089082118
54	0.4060521589
55	0.4027051653
56	0.3993089512
57	0.3964785331
58	0.3929578509
59	0.3897089495
60	0.3864865984
61	0.3836248779
62	0.3804568045
63	0.3774060059
64	0.3743743896
65	0.3715535627
66	0.3678677368
67	0.3637139457
68	0.3614543152
69	0.3577804129
70	0.3547762626
71	0.3514189802
72	0.3489522879
73	0.3462217058
74	0.3429382324
75	0.3398904419
76	0.3366443525
77	0.3343395996
78	0.3307876587
79	0.3283948626
80	0.3257497733
81	0.3232627651
82	0.3205881609
83	0.3181405858
84	0.3157520403
85	0.3130609785
86	0.310796705
87	0.3084179905
88	0.3056156267
89	0.3035409328
90	0.3002733939
91	0.2980281285
92	0.2956507874
93	0.2934763663
94	0.2914808655
95	0.2894608852
96	0.2877104841
97	0.285617872
98	0.2835191999
99	0.281396092
