iter	Passed	Remaining
0	1	123
1	1	83
2	1	63
3	2	65
4	3	62
5	4	63
6	4	64
7	5	64
8	6	65
9	7	64
10	7	62
11	8	58
12	8	58
13	9	58
14	10	59
15	11	58
16	11	57
17	12	56
18	12	54
19	13	54
20	14	54
21	15	54
22	16	53
23	16	53
24	17	52
25	18	51
26	19	51
27	19	50
28	20	49
29	21	49
30	21	47
31	22	46
32	22	46
33	23	45
34	23	44
35	24	44
36	25	43
37	26	42
38	27	42
39	27	41
40	28	41
41	29	40
42	29	39
43	30	39
44	31	38
45	31	37
46	32	36
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	52	16
76	53	15
77	54	15
78	54	14
79	55	13
80	56	13
81	57	12
82	57	11
83	58	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
